Date,Open,High,Low,Close,Volume
2018-06-27,47450,48500,47000,47950,15274752
2018-06-28,46850,47150,46600,46800,12784800
2018-06-29,46250,47150,46200,46650,14099635
2018-07-02,46500,47150,45500,45550,13112253
2018-07-03,45750,46450,45750,46150,10959655
2018-07-04,46700,47050,46050,46250,8776763
2018-07-05,46100,46550,45600,45950,7039773
2018-07-06,45500,45850,44650,44900,17843706
2018-07-09,45500,46100,45200,45600,11602464
2018-07-10,46200,46550,46100,46300,10528665
2018-07-11,46400,46450,45400,46000,11224077
2018-07-12,45900,46250,45450,45500,11828104
2018-07-13,45800,46500,45750,46500,11543389
2018-07-16,46800,46800,46000,46050,7678719
2018-07-17,46150,46200,45600,45850,8892953
2018-07-18,46700,47200,46450,46550,10952645
2018-07-19,47050,47200,46600,46900,9880128
2018-07-20,47000,47600,46700,47450,10474547
2018-07-23,47100,47200,46150,46500,10823782
2018-07-24,46350,46600,45950,46150,8261363
2018-07-25,46250,46550,45900,46150,7222471
2018-07-26,46100,47000,46000,46900,7374946
2018-07-27,46450,47000,46450,46900,4762460
2018-07-30,46550,46800,46350,46500,5723035
2018-07-31,46200,46450,46000,46250,8033607
2018-08-01,46050,46850,46050,46550,7484499
2018-08-02,46550,46800,45500,45550,8560924
2018-08-03,45850,45900,45450,45750,8274944
2018-08-06,46150,46150,45750,45800,6771979
2018-08-07,46300,46750,45900,46700,9058174
2018-08-08,47000,47000,46550,46800,6429338
2018-08-09,47000,47050,46450,46900,12010886
2018-08-10,46150,46400,44850,45400,16670643
2018-08-13,44950,45100,44650,45050,9803831
2018-08-14,44850,45400,44850,45150,6409259
2018-08-16,43800,44650,43700,44250,10088229
2018-08-17,44050,44400,44050,44100,6808747
2018-08-20,43500,44200,43500,43850,7289124
2018-08-21,43700,44900,43700,44800,9520270
2018-08-22,45150,46200,44900,46100,11641656
2018-08-23,46150,46200,45700,46200,6730918
2018-08-24,45900,46400,45550,46150,6582535
2018-08-27,46100,46550,46000,46300,5263782
2018-08-28,46800,46950,46300,46550,7365976
2018-08-29,46750,46800,46400,46800,5572374
2018-08-30,46950,47950,46700,47650,12193231
2018-08-31,47100,48450,47000,48450,13577454
2018-09-03,48200,48300,47300,47450,8595084
2018-09-04,47550,47800,47200,47650,6791255
2018-09-05,47300,47450,46400,46600,9139998
2018-09-06,46200,46400,45800,46100,9040553
2018-09-07,44500,45200,44400,44900,18285508
2018-09-10,45450,45550,45000,45500,9979838
2018-09-11,45550,45900,45050,45050,9865790
2018-09-12,44900,45100,44500,44550,12995269
2018-09-13,44550,44750,44000,44050,18277942
2018-09-14,45000,45850,44900,45850,12446344
2018-09-17,45550,45800,44900,45150,8123384
2018-09-18,44950,45900,44700,45500,9987090
2018-09-19,46000,46200,45700,46150,9367454
2018-09-20,46850,47600,46400,47250,13536966
2018-09-21,46550,47550,46550,47400,14476906
2018-09-27,46950,47500,46450,47500,15804586
2018-09-28,47250,47250,46300,46450,11270515
2018-10-01,46450,46800,45800,46350,6354983
2018-10-02,46450,46700,45700,45700,6607188
2018-10-04,45150,45600,44700,44700,11865327
2018-10-05,44800,45500,44550,44700,10544165
2018-10-08,44200,45200,44200,44950,6759464
2018-10-10,45250,45500,44500,45300,10341349
2018-10-11,44000,44650,43100,43100,19324537
2018-10-12,43200,44650,43200,44000,12640906
2018-10-15,44050,44050,43350,43800,7434522
2018-10-16,43700,44150,43350,43600,6825677
2018-10-17,44150,44500,44000,44150,8306193
2018-10-18,43950,44450,43700,44050,8347725
2018-10-19,43900,44150,43450,43900,7842520
2018-10-22,43450,43950,43200,43550,8357648
2018-10-23,43300,43450,42550,43050,9531231
2018-10-24,43050,43100,42250,42550,13522825
2018-10-25,40600,41550,40550,41000,19338170
2018-10-26,41100,41300,40400,41000,14413864
2018-10-29,40850,41950,40550,41400,14460521
2018-10-30,41400,43000,41000,42350,14205190
2018-10-31,42900,43350,41700,42400,17621480
2018-11-01,42450,42950,42150,42150,13423132
2018-11-02,43050,44250,42800,44150,16517112
2018-11-05,43750,43800,42900,43800,9426777
2018-11-06,43750,43800,42950,43750,7713625
2018-11-07,43600,44500,43400,44000,11553998
2018-11-08,44900,45050,44050,44050,12617397
2018-11-09,44450,44850,43900,44300,7318500
2018-11-12,43850,45250,43700,45200,8552566
2018-11-13,43900,44500,43400,44500,9311126
2018-11-14,44500,44500,43800,44100,6783344
2018-11-15,44050,44350,43500,44250,5864067
2018-11-16,44600,44750,43700,44000,7777124
2018-11-19,44050,44250,43450,43650,7538720
2018-11-20,42450,43000,42100,42800,9420664
2018-11-21,41800,42300,41800,42100,10769589
2018-11-22,42000,42650,42000,42450,5970796
2018-11-23,42450,42600,41900,42400,5192638
2018-11-26,42150,42800,42100,42600,6613009
2018-11-27,42900,43100,42500,43050,8367091
